County,Area(sqkm)
Bedfordshire,1128
Buckinghamshire,1570
Cambridgeshire,3061
Cheshire,2166
Derbyshire,2580
Derby,76
Gloucestershire,2704
Herefordshire,2130
Hertfordshire,1633
Leicestershire,2055
Leicester,65
Lincolnshire,5974
Luton,69
Milton Keynes,338
Northamptonshire,2326
Nottinghamshire,2073
Nottingham,82
Oxfordshire,2621
Peterborough,311
Rutland,405
Shropshire,3188
Staffordshire,2605
Stoke-on-Trent,104
Telford and Wrekin,295
Warwickshire,1964
West Midlands,880
Worcestershire,1785
Denbighshire,832
Flintshire,445
Monmouthshire,812
Powys,5085
Wrexham,654
